A,B,StadDistMiles
TD Garden (BOS),TD Garden (BOS),0
TD Garden (BOS),Barclays Center (BKN),190
TD Garden (BOS),Madison Square Garden (NY),188
TD Garden (BOS),Wells Fargo Center (PHI),273
TD Garden (BOS),Air Canada Centre (TOR),430
TD Garden (BOS),United Center (CHI),853
TD Garden (BOS),Quicken Loans Arena (CLE),550
TD Garden (BOS),The Palace of Auburn Hills (DET),622
TD Garden (BOS),Bankers Life Fieldhouse (IND),807
TD Garden (BOS),BMO Harris Bradley Center (MIL),858
TD Garden (BOS),Philips Arena (ATL),936
TD Garden (BOS),Spectrum Center (CHA),720
TD Garden (BOS),AmericanAirlines Arena (MIA),1254
TD Garden (BOS),Amway Center (ORL),1114
TD Garden (BOS),Verizon Center (WSH),393
TD Garden (BOS),ORACLE Arena (GS),2691
TD Garden (BOS),Staples Center (LAC),2598
TD Garden (BOS),Staples Center (LAL),2598
TD Garden (BOS),Talking Stick Resort Arena (PHX),2299
TD Garden (BOS),Golden 1 Center (SAC),2631
TD Garden (BOS),American Airlines Center (DAL),1558
TD Garden (BOS),Toyota Center (HOU),1605
TD Garden (BOS),FedExForum (MEM),1136
TD Garden (BOS),Smoothie King Center (NO),1358
TD Garden (BOS),AT&T Center (SA),1764
TD Garden (BOS),Pepsi Center (DEN),1770
TD Garden (BOS),Target Center (MIN),1126
TD Garden (BOS),Chesapeake Energy Arena (OKC),1495
TD Garden (BOS),Moda Center at the Rose Quarter (POR),2539
TD Garden (BOS),Vivint Smart Home Arena (UTA),2098
Barclays Center (BKN),TD Garden (BOS),190
Barclays Center (BKN),Barclays Center (BKN),0
Barclays Center (BKN),Madison Square Garden (NY),4
Barclays Center (BKN),Wells Fargo Center (PHI),82
Barclays Center (BKN),Air Canada Centre (TOR),344
Barclays Center (BKN),United Center (CHI),716
Barclays Center (BKN),Quicken Loans Arena (CLE),406
Barclays Center (BKN),The Palace of Auburn Hills (DET),498
Barclays Center (BKN),Bankers Life Fieldhouse (IND),646
Barclays Center (BKN),BMO Harris Bradley Center (MIL),736
Barclays Center (BKN),Philips Arena (ATL),746
Barclays Center (BKN),Spectrum Center (CHA),530
Barclays Center (BKN),AmericanAirlines Arena (MIA),1087
Barclays Center (BKN),Amway Center (ORL),936
Barclays Center (BKN),Verizon Center (WSH),203
Barclays Center (BKN),ORACLE Arena (GS),2565
Barclays Center (BKN),Staples Center (LAC),2453
Barclays Center (BKN),Staples Center (LAL),2453
